"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0H9A0","2019-07-25 00:00:00","1595.000","233.000","0.400","17.700","0.990","845.900","-99.000","0.000","-99.000","-99.000","-99.000","24.700","","16.000",""
"C0Z300","2019-07-25 00:00:00","182.000","0.000","0.200","26.400","0.990","990.600","-99.000","10.000","-99.000","-99.000","-99.000","34.200","","24.600",""
"C0G730","2019-07-25 00:00:00","27.000","172.000","0.800","27.700","0.950","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","25.600",""
"C0V730","2019-07-25 00:00:00","33.000","0.000","0.100","28.200","0.950","1005.800","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","25.900",""
"C0SA00","2019-07-25 00:00:00","466.000","299.000","1.800","24.000","0.980","957.500","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","21.700",""
"C0S900","2019-07-25 00:00:00","27.000","123.000","0.600","29.000","0.770","1007.600","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","26.700",""
"C0C480","2019-07-25 00:00:00","105.000","0.000","0.000","28.100","0.820","996.400","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","25.300",""
"C0V720","2019-07-25 00:00:00","15.000","44.000","0.800","29.600","0.850","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","26.700",""
"C0UA60","2019-07-25 00:00:00","566.000","0.000","0.200","23.600","0.990","946.800","-99.000","0.000","-99.000","-99.000","-99.000","29.700","","22.700",""
"C0A980","2019-07-25 00:00:00","11.000","0.000","0.200","28.500","0.800","1007.500","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","25.700",""
"C0C670","2019-07-25 00:00:00","250.000","186.000","0.900","26.500","0.820","980.800","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","23.700",""
"C0SA20","2019-07-25 00:00:00","857.000","2.000","0.700","22.400","0.960","916.400","-99.000","0.000","-99.000","-99.000","-99.000","25.900","","20.800",""
"CM0140","2019-07-25 00:00:00","26.000","262.000","0.800","28.600","0.810","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","27.600",""
"C0X230","2019-07-25 00:00:00","29.000","153.000","0.800","27.200","0.920","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","25.200",""
"C0B010","2019-07-25 00:00:00","38.000","142.000","0.900","27.300","0.910","1001.800","-99.000","0.500","-99.000","-99.000","-99.000","32.500","","25.400",""
"C0R490","2019-07-25 00:00:00","49.000","5.000","1.100","27.200","0.920","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","25.100",""
"C0V440","2019-07-25 00:00:00","27.000","0.000","0.000","26.900","0.840","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","24.900",""
"C0SA40","2019-07-25 00:00:00","200.000","0.000","0.000","27.200","0.890","987.500","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.000",""
"C0Z280","2019-07-25 00:00:00","224.000","172.000","0.900","26.000","0.990","985.200","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","24.100",""
"C0Z070","2019-07-25 00:00:00","247.000","0.000","0.000","26.100","0.990","981.900","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","24.300",""
"C0T9N0","2019-07-25 00:00:00","261.000","0.000","0.000","26.400","0.940","980.800","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","24.600",""
"C0K470","2019-07-25 00:00:00","97.000","104.000","0.800","25.100","0.990","998.300","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","23.900",""
"C0H9C0","2019-07-25 00:00:00","3402.000","233.000","0.900","11.100","0.930","679.400","-99.000","0.000","-99.000","-99.000","-99.000","16.000","","8.200",""
